time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-30T18:41:15.570Z,-9.8426,117.8286,88.33,4.4,mb,,82,3.877,1.12,us,usc000tkf7,2015-05-02T14:07:30.040Z,"155 km SSE of Sumbawa Besar, Indonesia",earthquake,6.5,7,0.083,44,reviewed,us,us
2015-02-03T00:17:01.460Z,-10.0638,122.3895,75.42,4.4,mb,,72,1.262,0.81,us,usc000tnqn,2015-05-02T14:07:08.040Z,"133 km W of Kupang, Indonesia",earthquake,4.9,9.1,0.149,15,reviewed,us,us
2015-02-15T15:57:10.000Z,-25.219,151.374,15,4.9,mb,,,,1.1,us,usb000tpj7,2022-05-03T17:13:25.601Z,"42 km N of Mundubbera, Australia",earthquake,6.1,3.2,0.107,31,reviewed,aust,us
2015-02-21T12:21:00.990Z,-9.1607,115.2133,103.56,4.1,mb,,119,1.253,1.06,us,usc000tt25,2022-07-28T03:05:35.927Z,"39 km S of Nusa Dua, Indonesia",earthquake,6.3,10.9,0.262,5,reviewed,us,us
2015-02-22T16:57:54.030Z,-11.4592,118.1508,40.97,4,mb,,54,4.905,1.23,us,usc000tt4y,2015-05-12T20:29:39.040Z,"south of Sumbawa, Indonesia",earthquake,4.6,9.1,0.134,16,reviewed,us,us
2015-02-26T00:01:25.530Z,-11.6514,117.6536,10,4,mb,,101,4.677,0.68,us,usc000tulh,2015-05-19T00:28:37.040Z,"south of Sumbawa, Indonesia",earthquake,7.1,1.9,0.183,10,reviewed,us,us
2015-02-28T23:03:31.260Z,-9.5591,155.9075,10,4,mb,,121,3.987,0.55,us,usc000tv6y,2015-05-19T00:29:18.040Z,"191 km SSW of Gizo, Solomon Islands",earthquake,8.9,2,0.196,8,reviewed,us,us
2015-03-06T03:06:52.420Z,-10.6425,121.0083,58.64,4,mb,,98,2.333,0.68,us,us10001l8d,2015-05-28T00:48:34.040Z,"136 km SE of Waingapu, Indonesia",earthquake,9.7,3.4,0.173,10,reviewed,us,us
2015-03-10T12:39:49.000Z,-38.046,145.491,0,2.8,ml,,,,1.1,us,us10001lem,2022-07-28T01:27:34.355Z,"3 km NNE of Pakenham, Australia",earthquake,3,2,,,reviewed,aust,aust
2015-03-15T01:28:41.260Z,-9.8402,117.4824,67.24,4.1,mb,,92,3.558,0.76,us,us10001ng4,2015-06-04T00:46:20.040Z,"149 km S of Sumbawa Besar, Indonesia",earthquake,8.4,9,0.158,11,reviewed,us,us
2015-03-15T13:24:47.430Z,-9.2159,110.4645,54.69,4.1,mb,,165,1.296,1.47,us,us10001ngp,2015-06-04T00:46:21.040Z,"140 km S of Pundong, Indonesia",earthquake,9,9.9,0.234,5,reviewed,us,us
2015-03-15T21:19:13.920Z,-9.6876,112.8854,49.71,5,mb,,66,1.74,0.39,us,us10001ml0,2015-06-04T00:46:21.040Z,"163 km S of Dampit, Indonesia",earthquake,4.8,5,0.079,56,reviewed,us,us
2015-03-16T01:39:46.350Z,-9.7466,112.8253,58.81,4.2,mb,,89,1.823,0.9,us,us10001mny,2015-06-04T00:46:22.040Z,"169 km S of Dampit, Indonesia",earthquake,8.2,9.3,0.147,15,reviewed,us,us
2015-03-22T00:19:14.930Z,-9.6851,114.2388,53.65,4.5,mb,,59,1.21,0.73,us,us10001pi1,2015-06-09T21:30:01.040Z,"138 km S of Muncar, Indonesia",earthquake,7.9,2.1,0.1,29,reviewed,us,us
2015-03-23T15:11:00.480Z,-9.1283,123.6549,92.83,4.1,mb,,105,0.867,0.81,us,us10001r63,2015-06-09T21:30:03.040Z,"53 km NNW of Naisano Dua, Indonesia",earthquake,7.7,10,0.198,7,reviewed,us,us
2015-03-26T00:38:21.620Z,-9.521,117.6324,70.24,4.5,mb,,48,3.593,0.74,us,us10001qt6,2015-06-12T01:53:22.040Z,"116 km SSE of Sumbawa Besar, Indonesia",earthquake,6.2,7,0.095,33,reviewed,us,us
2015-03-27T00:13:34.150Z,-9.8752,122.336,94.82,4.1,mb,,91,1.235,1.1,us,us10001r2p,2015-06-12T01:53:23.040Z,"136 km SSE of Ende, Indonesia",earthquake,14.6,26.9,0.174,9,reviewed,us,us
2015-04-05T13:00:43.890Z,-9.3061,110.3196,40.25,4.7,mb,,86,1.399,0.77,us,us10001u3t,2015-06-16T01:00:28.040Z,"149 km S of Pundong, Indonesia",earthquake,7.6,3.4,0.073,56,reviewed,us,us
2015-04-05T18:20:26.590Z,-9.7537,110.5096,32.57,4.5,mb,,171,1.829,1.29,us,us200026e0,2015-06-16T01:00:28.040Z,"200 km S of Pundong, Indonesia",earthquake,12.1,4.7,0.192,8,reviewed,us,us
2015-04-06T02:12:53.670Z,-9.2983,110.347,47.43,4.4,mb,,49,1.387,1.24,us,us10001u8n,2015-06-16T01:00:29.040Z,"148 km S of Pundong, Indonesia",earthquake,6.8,5.4,0.127,18,reviewed,us,us
2015-04-06T02:35:21.370Z,-9.3057,110.3747,49.08,4.2,mb,,91,1.392,0.76,us,us10001u8u,2015-06-16T01:00:29.040Z,"149 km S of Pundong, Indonesia",earthquake,7.8,6.5,0.137,15,reviewed,us,us
2015-04-06T10:48:30.920Z,-9.3692,110.3879,46.78,4.1,mb,,91,1.453,1.34,us,us200026fd,2015-06-16T01:00:29.040Z,"156 km S of Pundong, Indonesia",earthquake,4.8,9.6,0.14,14,reviewed,us,us
2015-04-06T17:19:58.680Z,-9.6464,125.2222,56.52,4.1,mb,,129,0.947,1,us,us10001uqz,2015-06-16T01:00:30.040Z,"East Timor region",earthquake,4.8,10.3,0.165,10,reviewed,us,us
2015-04-07T22:11:35.080Z,-9.2792,126.4572,35,4.2,mb,,65,2.211,1.28,us,us200026pw,2015-06-16T01:00:32.040Z,"East Timor region",earthquake,6.7,1.6,0.159,11,reviewed,us,us
2015-04-08T04:00:33.130Z,-9.5294,126.3257,66.72,4.3,mb,,72,2.042,0.93,us,us200024xu,2015-06-16T01:00:32.040Z,"74 km S of Viqueque, Timor Leste",earthquake,7.8,8.5,0.168,10,reviewed,us,us
2015-04-10T03:12:22.990Z,-10.4897,123.9385,44.01,4.5,mb,,65,0.798,0.75,us,us200025ir,2015-06-22T23:18:55.040Z,"50 km SE of Kupang, Indonesia",earthquake,7.3,3.6,0.132,18,reviewed,us,us
